"p","n","M","n_iter","n_burn","c_int_true","cell","DGP","Model","RMSE_f1","RMSE_f2","RMSE_f3","RMSE_f12","cov_f12","RMSE_y","sigma2_mean","tau2_mean","rho_mean","WAIC","p_WAIC","accept_sigma2","accept_tau2","accept_rho","elapsed_sec"
2,300,8,3000,1000,1.5,"A","NULL","M0",0.0591268912155957,0.421092370413998,NA,NA,NA,0.727959158508821,0.376222240508157,0.278660211096823,0.256452063743987,802.653373048737,61.3055046196544,0.719,0.331333333333333,0.746666666666667,209.98
2,300,8,3000,1000,1.5,"B","NULL","M1",0.0567902738144395,0.420599522563403,NA,0.0156205415863024,1,0.728059806641178,0.362932785134978,0.279330113048095,0.25079352985033,797.343175270856,59.3094677199449,0.721666666666667,0.346,0.747,212.88
2,300,8,3000,1000,1.5,"C","INT","M0",0.0921510136089089,0.831942486041257,NA,NA,NA,0.684978908410601,0.320322361693686,0.294617707525087,0.206277958783895,737.800455970734,47.1211813721388,0.705333333333333,0.334666666666667,0.747666666666667,205.14
2,300,8,3000,1000,1.5,"D","INT","M1",0.0939965899551662,0.760558419040601,NA,0.605213680213027,0.15,0.635836140728664,0.317500009865634,0.193916216966738,0.225457136044459,725.476743360905,63.194227382655,0.695333333333333,0.342,0.709,210.639999999999
3,300,8,3000,1000,1.5,"A","NULL","M0",0.0526268488673936,0.419763318264965,0.0264472835384551,NA,NA,0.687424205772624,0.39837766174595,0.24560599693003,0.276497956275727,784.941728922639,63.8275269298946,0.722333333333333,0.318,0.685,209.860000000001
3,300,8,3000,1000,1.5,"B","NULL","M1",0.0518357299688774,0.418554858364509,0.0253871621150579,0.0273372968876762,1,0.682865264196239,0.424088082788015,0.244323313089359,0.290741451830602,820.033767177762,78.4848133799525,0.728666666666667,0.329666666666667,0.689,226.63
3,300,8,3000,1000,1.5,"C","INT","M0",0.104602817638724,0.756751055932597,0.0354773629186984,NA,NA,0.715941070865662,0.337475408575728,0.314147947396563,0.26679774050903,786.507303967471,56.9623397224603,0.743,0.309666666666667,0.748666666666667,207.2
3,300,8,3000,1000,1.5,"D","INT","M1",0.0802004364250801,0.683846520768922,0.0184722359860764,0.598461082867051,0.183333333333333,0.632133788405224,0.342080531269583,0.201510326238113,0.266230645634363,770.224763818604,79.4663773634036,0.734666666666667,0.330333333333333,0.735,224.92
