"bundle","sigma2","tau2","rho","b_cor","tau2s_X1","tau2s_X2","tau2s_X3","tau2s_X4","tau2s_X5","tau2s_X6","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","cov_X1","cov_X2","cov_X3","cov_X4","cov_X5","cov_X6","time_sec"
"B1_default",0.525631966857454,0.150047583059927,0.168731667040897,0.984013764141096,0.00578867936597863,0.00253320539890557,0.00216367460232227,0.011366205544757,0.00237513382913185,0.00274873731822286,0.0816117658138208,0.0324091885798851,0.0484129831992883,0.0362398349138687,0.0233204920772682,0.0255337799893626,0.742574257425743,1,1,1,1,1,22235.778
"B2_smooth_tight",0.503332735278476,0.149919809701298,0.166126246628783,0.984024061495984,0.00561438171007683,0.00310385156994536,0.00287321974509315,0.00954647314271841,0.00301680987572102,0.00345516548496245,0.0814454138102756,0.0334856052563525,0.0491596229607575,0.035520231972856,0.0242317387146082,0.0272841056750878,0.742574257425743,1,1,1,1,1,22209.834
"B3_smooth_loose",0.468198387935973,0.149828805435742,0.160580211098982,0.984054285820723,0.00536321915738025,0.00107890718063055,0.000852206846700002,0.0117698852246389,0.000883826255638837,0.00104392198812364,0.0810756788260305,0.0276921726778725,0.0480598945809749,0.0362600824905997,0.0191512540106597,0.0213221202495022,0.742574257425743,1,1,1,1,1,22185.305
"B4_var_diffuse",0.477369568047099,0.149576087052386,0.161218204812365,0.983960396984331,0.00581733855310343,0.00255703832149664,0.00219693083407004,0.011422579816933,0.00239247268527659,0.00270452867683309,0.0812146368049148,0.0326812354233199,0.0486200574485705,0.0367779793250178,0.0230396075760671,0.0255244350498799,0.732673267326733,1,1,1,1,1,22544.744
"B5_rho_misspec",0.518827436765751,0.149705367037563,0.1689548547602,0.983992853400778,0.00578595003368578,0.00263194213925786,0.00215031001281255,0.0113040342800526,0.00232952982544359,0.00272824085972174,0.0814659550664697,0.0325832874931564,0.0485124530893394,0.0364493365400912,0.0231506869890006,0.025942897909224,0.752475247524752,1,1,1,1,1,21585.856
