"bundle","sigma2","tau2","rho","b_cor","tau2s_X1","tau2s_X2","tau2s_X3","tau2s_X4","tau2s_X5","tau2s_X6","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","cov_X1","cov_X2","cov_X3","cov_X4","cov_X5","cov_X6","time_sec"
"B1_default",0.499896767789966,0.150000358797809,0.165741518411175,0.984006371644013,0.00578755065117947,0.00253285810323492,0.00216402453639924,0.0113568663662413,0.00237464436822657,0.00274784422699861,0.0815608624409605,0.0324329441714684,0.0483929163476645,0.0362550063823184,0.0233020209826975,0.025540030394214,0.742574257425743,1,1,1,1,1,21576.928
"B2_smooth_tight",0.55823814874768,0.15008852423123,0.171951665273145,0.984038049436539,0.00561340551224059,0.00310328339125841,0.00287346683854791,0.00954591318215978,0.0030184131561907,0.0034563552325024,0.0815225239097874,0.033437971107428,0.0491571375229716,0.0355025907694889,0.0242594044588136,0.0272695817739962,0.742574257425743,1,1,1,1,1,21583.903
"B3_smooth_loose",0.453475976348707,0.149604904953456,0.158007062169741,0.984034045835727,0.00536528526597669,0.0010793561715614,0.00085206844561469,0.0117899047262711,0.000883731982386873,0.00104470000389223,0.0810201822065766,0.0277261518739762,0.0480926227532044,0.0362946705757999,0.0191321022283703,0.0213437521770169,0.742574257425743,1,1,1,1,1,21608.882
"B4_var_diffuse",0.499194797564654,0.15016008603094,0.164843705707246,0.983949697856265,0.00581861724381955,0.00255755742409224,0.00219809006932142,0.011371259987012,0.00239369552842418,0.00270360941197127,0.0813175677928506,0.0326474409332576,0.0487728045253292,0.0366713455703838,0.0230655086248292,0.0254843113046741,0.732673267326733,1,1,1,1,1,21575.647
"B5_rho_misspec",0.543775334361781,0.150313423842803,0.172471968047814,0.98400253948824,0.00579067160693591,0.00263125138709875,0.00215193771166522,0.0112370885308346,0.00232863218942893,0.00272666276207935,0.0815410901772981,0.0325273407399946,0.0484933946856987,0.0363556250258739,0.0231660197750594,0.0259095690799009,0.762376237623762,1,1,1,1,1,21543.617
