"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","sigma2","tau2","rho","b_cor","time_sec"
"REML",0.265895590891181,0.0526920287522555,0.0385386330642134,0.022475754564894,0.875737905887044,0.144537263943464,0.194504374830184,NA,26.467
"Bayes",0.0751946510151121,0.0420752945758024,0.0303466711130531,0.0253935042443809,0.701466307000391,0.143885915061755,0.171209144723076,0.987222896143051,21422.06
