"var","rmse_curve","band_coverage"
"X1",0.10946068758034,0.782178217821782
"X2",0.0696383884076666,1
"X3",0.0499257539327072,1
"X4",0.0565379307133555,1
"X5",0.0371860815674366,1
"X6",0.0460197334563755,1
