"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","sigma2","tau2","rho","time_sec"
"REML",0.247264058098227,0.0384568993244135,0.0548048001764099,0.021135627567896,0.0274369623149722,0.0261475824673181,0.497956353453587,0.152120284745679,0.167220925311514,30.85
"Bayes",0.0816117658138208,0.0324091885798851,0.0484129831992883,0.0362398349138687,0.0233204920772682,0.0255337799893626,0.525631966857454,0.150047583059927,0.168731667040897,26803.446
