"method","scenario","n_seeds","mean_rmse_f1","mcse_rmse_f1","mean_cov95_f1","mcse_cov95_f1","mean_rmse_f2","mcse_rmse_f2","mean_cov95_f2","mcse_cov95_f2","mean_rmse_f3","mcse_rmse_f3","mean_cov95_f3","mcse_cov95_f3","mean_rmse_f_mean","mcse_rmse_f_mean","mean_cov95_f_mean","mcse_cov95_f_mean","mean_rmse_s","mcse_rmse_s","mean_cor_s","mcse_cor_s","mean_post_mean_sigma2","mcse_post_mean_sigma2","mean_bias_sigma2","mcse_bias_sigma2","mean_cov95_sigma2","mcse_cov95_sigma2","mean_post_mean_tau2_s","mcse_post_mean_tau2_s","mean_bias_tau2_s","mcse_bias_tau2_s","mean_cov95_tau2_s","mcse_cov95_tau2_s","mean_post_mean_rho","mcse_post_mean_rho","mean_total_sec","mcse_total_sec","mean_fit_sec","mcse_fit_sec","mean_post_sec","mcse_post_sec"
"inla","A",10,0.0996923921195522,0.00838991540437709,0.977227722772277,0.00979592216478933,0.0746946450454333,0.0105577521002933,0.972277227722772,0.0188898851765732,0.0690236204425097,0.0149739095922197,0.965346534653465,0.0244870254805935,0.0811368858691651,0.00678447702478369,0.971617161716172,0.0103340097388932,0.548272345250961,0.0118987001252799,0.847853777993692,0.0107217344134185,1.14892074453029,0.0288837201407796,0.148920744530288,0.0288837201407796,0.4,0.163299316185545,0.978616625971308,0.0916695635832651,-0.0213833740286922,0.0916695635832651,0.8,0.133333333333333,0.195931657115385,0.0122914919745147,17.0620000000001,0.351829504163229,3.05599999999922,0.167611985782119,13.6780000000002,0.206950342943353
"mgcv","A",10,0.0927906462531462,0.00802375998797049,0.991089108910891,0.00891089108910891,0.0801377958977608,0.0104288607499602,0.722772277227723,0.0568577042042456,0.0717458775361592,0.0169112844566975,0.894059405940594,0.046628185851492,0.0815581065623554,0.00714223560224463,0.869306930693069,0.0151735442460433,0.587860603128588,0.0151514616184945,0.82821684178301,0.0128943880791567,1.26242927571378,0.0301818225004269,0.262429275713783,0.0301818225004269,0,0,13.9021391265116,1.63466096107042,12.9021391265116,1.63466096107042,0,0,NA,NA,2.73599999999969,0.291674095143379,2.51800000000003,0.288323891945759,0.217999999999665,0.0219494368439611
"ours","A",10,0.112826919441998,0.0115252131188972,0.989108910891089,0.00759075907590759,0.0984418740928942,0.0109868407860115,0.983168316831683,0.00957095709570957,0.103284145533779,0.0132959701384175,0.966336633663366,0.0305061914410333,0.104850979689557,0.00758515805492067,0.97953795379538,0.0127612761276128,0.532340955924514,0.0120305953621961,0.857414035444924,0.0100320774047215,1.03015182492102,0.0303948141746305,0.030151824921019,0.0303948141746305,0.9,0.1,0.998734859078264,0.0832588488109316,-0.0012651409217358,0.0832588488109316,0.9,0.1,0.0592821440009941,0.00411094707175615,3505.821,334.245569000631,3501.465,334.038181241639,0.0510000000016589,0.0223830292853629
