"p","phase","n","M","n_iter","n_burn","c_int_true","cell","DGP","Model","n_int_blocks","RMSE_f1","RMSE_f2","RMSE_f3","RMSE_f4","RMSE_f12","cov_f12","RMSE_y","sigma2_mean","tau2_mean","rho_mean","WAIC","p_WAIC","accept_sigma2","accept_tau2","accept_rho","elapsed_sec","seed_group","seed_offset","data_seed_null","data_seed_int","mcmc_seed"
4,2,1000,8,3000,1000,1.5,"A","NULL","M0",0,0.161353290872197,0.0209745425954926,0.0261657586060577,0.044497151061537,NA,NA,0.959868945284989,0.655334899789804,0.24019814598373,0.309749920131431,3526.63050719119,380.920556687635,0.652333333333333,0.189666666666667,0.541333333333333,4689.38,1,0,402,802,1202
4,2,1000,8,3000,1000,1.5,"B","NULL","M1",6,0.162066534215336,0.0216530593376862,0.0267268681039874,0.0468085068786565,0.0166751498967716,1,0.962464023716392,0.689632367878677,0.238710707741922,0.316104459846631,3527.4710591213,375.389307410443,0.634333333333333,0.192,0.557666666666667,5157.73,1,0,402,802,1202
4,2,1000,8,3000,1000,1.5,"C","INT","M0",0,0.174605112743196,0.027810624151147,0.0318375328610516,0.0375969903416903,NA,NA,0.707714361902816,0.504469877097858,0.274334585132123,0.267614852578371,2692.66288452445,199.223705652275,0.666,0.188,0.602,4683.02,1,0,402,802,1202
4,2,1000,8,3000,1000,1.5,"D","INT","M1",6,0.171523046981875,0.0396805166959224,0.0325945890521084,0.0358484755414478,0.0582286375638,0.942,0.686548664686226,0.543345402441959,0.252134916698542,0.27696913258965,2684.29709618199,208.924843536124,0.656666666666667,0.197,0.608,4122.2,1,0,402,802,1202
