"var","rmse_curve","cor_curve"
"X1",0.250006142563662,0.995973086058458
"X2",0.0896596026309073,0.987214938822402
"X3",0.0734791815176492,0.984440790931351
"X4",0.0606265328915537,0.985365397775538
