"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","sigma2","tau2","rho","b_cor","time_sec"
"REML",0.243204805897472,0.0262233915414398,0.0516392750631962,0.0206422318066393,1.2743815410226,0.157860498659601,0.25368266136372,NA,25.985
"Bayes",0.065214588035352,0.0278983091665191,0.0481433404601972,0.0225836593675756,0.973070201069633,0.156423691280809,0.222587133172747,0.995201777381086,21399.957
