"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","rmse_X7","rmse_X8","rmse_X9","rmse_X10","sigma2","tau2","rho","time_sec"
"REML",0.268437749990819,0.0587780797838165,0.0431852845955288,0.0550397284187209,0.0385489021886149,0.0244102166947089,0.0331034078879275,0.0201458324981414,0.0305212098683534,0.0494958272089477,1.07912610422363,0.153598891727305,0.275036112918632,29.217
"Bayes",0.0860050033313268,0.058162612776621,0.044010584992369,0.0623857654077166,0.0435090681009726,0.0243963825085726,0.0389745497611449,0.0255904035050671,0.0301975909818855,0.0511023318879997,0.660652567602603,0.149277078304927,0.219660801509441,21999.971
