"var","rmse_baby","cov_baby","rmse_v2","cov_v2"
"X1",0.191170323570021,0.108910891089109,0.189890403555599,0.108910891089109
"X2",0.0532477647739699,1,0.0530031481106538,1
"X3",0.0777969434982298,0.792079207920792,0.0773580604055778,0.792079207920792
"X4",0.0242681379106816,1,0.024152323460062,1
