"var","rmse_baby","cov_baby","rmse_gibbs","cov_gibbs"
"X1",0.191170323570021,0.108910891089109,0.222293010788617,0.415841584158416
"X2",0.0532477647739699,1,0.142405065453136,0.792079207920792
"X3",0.0777969434982298,0.792079207920792,0.118905875861258,0.881188118811881
"X4",0.0242681379106816,1,0.0918729865978395,0.95049504950495
