"setting","sim","n","sigma2","tau2","rho","b_cor","time_sec","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","rmse_X7","rmse_X8","rmse_X9","rmse_X10","cov_X1","cov_X2","cov_X3","cov_X4","cov_X5","cov_X6","cov_X7","cov_X8","cov_X9","cov_X10","tau2s_X1","tau2s_X2","tau2s_X3","tau2s_X4","tau2s_X5","tau2s_X6","tau2s_X7","tau2s_X8","tau2s_X9","tau2s_X10"
"sim3_n400","sim3",400,0.315493790397784,0.145004800663005,0.145512283573045,0.93637962898015,1798.689,0.0816407605402688,0.075653444016907,0.0668797913189479,0.0624209958759828,NA,NA,NA,NA,NA,NA,0.96039603960396,0.97029702970297,1,1,NA,NA,NA,NA,NA,NA,0.0096234112390349,0.0043539276247224,0.00346514019836336,0.0108348912045416,NA,NA,NA,NA,NA,NA
"sim3_n1000","sim3",1000,0.701466307000391,0.143885915061755,0.171209144723076,0.987222896143051,22171.751,0.0751946510151121,0.0420752945758024,0.0303466711130531,0.0253935042443809,NA,NA,NA,NA,NA,NA,0.712871287128713,1,1,1,NA,NA,NA,NA,NA,NA,0.00649396826876196,0.00222348536361366,0.00219447336386587,0.00660509519986453,NA,NA,NA,NA,NA,NA
"sim4plus_n400","sim4plus",400,1.19636045019212,0.118166860962029,0.21027469420622,0.985462053835493,1905.513,0.0864867396633155,0.0664324484279688,0.0872496950734809,0.118591111161093,0.0880960630750735,0.0267994398273401,0.0511674167780392,0.0569565139319999,0.0470855354574786,0.029116218106151,0.891089108910891,1,0.851485148514851,0.673267326732673,0.653465346534653,1,1,0.930693069306931,1,1,0.00811104380628402,0.00315295570294002,0.00511469161498418,0.00632993559342739,0.0032430788063578,0.00346744006519321,0.00256430115987379,0.00251760845668885,0.0028854275670438,0.00288161296505258
"sim4plus_n1000","sim4plus",1000,0.660652567602603,0.149277078304927,0.219660801509441,0.976340401295125,22511.454,0.0860050033313268,0.058162612776621,0.044010584992369,0.0623857654077166,0.0435090681009726,0.0243963825085726,0.0389745497611449,0.0255904035050671,0.0301975909818855,0.0511023318879997,0.643564356435644,0.940594059405941,1,0.930693069306931,1,1,0.97029702970297,1,1,0.871287128712871,0.0078182145176207,0.00313837931476706,0.00332631346272903,0.00639398467775382,0.00318580443098809,0.00208236413855604,0.00273878497145184,0.00238608928264668,0.00283179812746478,0.00260351506131581
