"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","sigma2","tau2","rho","time_sec"
"REML",0.232229849105746,0.0237668047552692,0.0494090898561792,0.0324127144186498,0.00398550426260618,0.144237034753338,0.448154106432057,40.506
"Bayes",0.0659337510791858,0.0299007143929503,0.0515170964976334,0.0372424635772202,0.281724463874413,0.142377780654087,1.81524260325151,23773.648
