"method","rmse_X1","rmse_X2","rmse_X3","rmse_X4","rmse_X5","rmse_X6","sigma2","tau2","rho","time_sec"
"REML",0.247264058098227,0.0384568993244135,0.0548048001764099,0.021135627567896,0.0274369623149722,0.0261475824673181,0.497956353453587,0.152120284745679,0.167220925311514,27.26
"Bayes",0.0815608624409605,0.0324329441714684,0.0483929163476645,0.0362550063823184,0.0233020209826975,0.025540030394214,0.499896767789966,0.150000358797809,0.165741518411175,21724.094
