"var","rmse_curve","band_coverage"
"X1",0.0815608624409605,0.742574257425743
"X2",0.0324329441714684,1
"X3",0.0483929163476645,1
"X4",0.0362550063823184,1
"X5",0.0233020209826975,1
"X6",0.025540030394214,1
